day,site,new_customer,platform,visits,distinct_sessions,orders,gross_sales,bounces,add_to_cart,product_page_views,search_page_views,conversion_rate,bounce_rate,add_to_cart_rate
1/8/2013 0:00,Pinnacle,,,3,2,0,,3,0,1,0,0,1,0
1/8/2013 0:00,Acme,1,iPhone,19,16,12,1225,2,13,43,39,0.631578947,0.105263158,0.684210526
1/8/2013 0:00,Pinnacle,,BlackBerry,5,4,0,,3,0,4,4,0,0.6,0
1/8/2013 0:00,Pinnacle,,Android,88,68,0,,50,2,87,147,0,0.568181818,0.022727273
1/8/2013 0:00,Acme,1,Windows,1041,581,583,67777,169,681,3618,6832,0.560038425,0.1623439,0.654178674
1/8/2013 0:00,Widgetry,,iPhone,3701,2863,0,,52,325,21822,33478,0,0.014050257,0.087814104
1/8/2013 0:00,Acme,,iPad,12963,10301,0,,4559,590,21439,43006,0,0.351693281,0.045514156
1/8/2013 0:00,Sortly,0,iPhone,354,287,33,4321,94,80,410,477,0.093220339,0.265536723,0.225988701
1/8/2013 0:00,Tabular,,iPad,2233,1868,0,,293,262,1,2,0,0.131213614,0.117330945
1/8/2013 0:00,Sortly,,Windows,1,1,0,,1,0,1,0,0,1,0
1/8/2013 0:00,Acme,0,Android,254,183,21,2304,49,55,656,1423,0.082677165,0.192913386,0.216535433
1/8/2013 0:00,Pinnacle,0,Windows,75,60,9,2470,17,21,180,304,0.12,0.226666667,0.28
1/8/2013 0:00,Sortly,,Other,3251,2746,0,,1918,114,4331,6430,0,0.589972316,0.035066133
1/8/2013 0:00,Pinnacle,0,BlackBerry,0,0,0,51,0,0,0,0, , , 
1/8/2013 0:00,Acme,0,iPhone,533,422,42,5613,114,94,779,1157,0.07879925,0.213883677,0.176360225
1/8/2013 0:00,Acme,,Linux,1029,955,0,,837,9,931,1603,0,0.813411079,0.008746356
1/8/2013 0:00,Pinnacle,,iPad,313,257,0,,144,10,408,597,0,0.460063898,0.031948882
1/8/2013 0:00,Acme,,iPhone,5827,5507,0,,2316,123,4577,7907,0,0.3974601,0.021108632
1/8/2013 0:00,Pinnacle,0,Other,0,0,0,,0,0,1,2, , , 
1/8/2013 0:00,Pinnacle,,Macintosh,593,464,0,,290,17,741,1127,0,0.489038786,0.028667791
1/8/2013 0:00,Tabular,1,iPad,14,13,14,1943,0,14,0,0,1,0,1
1/8/2013 0:00,Pinnacle,1,BlackBerry,0,0,0,,0,0,0,0, , , 
1/8/2013 0:00,Sortly,,iPad,3,2,0,,2,0,6,1,0,0.666666667,0
1/8/2013 0:00,Acme,1,iPad,159,90,87,11273,27,103,586,842,0.547169811,0.169811321,0.647798742
1/8/2013 0:00,Sortly,,Android,411,333,0,,189,20,676,1217,0,0.459854015,0.0486618
1/8/2013 0:00,Pinnacle,1,Android,1,0,0,28,0,0,0,0,0,0,0
1/8/2013 0:00,Pinnacle,1,Windows,12,7,5,1312,2,6,31,41,0.416666667,0.166666667,0.5
1/8/2013 0:00,Widgetry,0,iPhone,121,116,121,16253,0,121,1625,1416,1,0,1
1/8/2013 0:00,Pinnacle,,Other,93,54,0,,67,0,24,160,0,0.720430108,0
1/8/2013 0:00,Sortly,0,Android,73,54,4,391,21,15,81,128,0.054794521,0.287671233,0.205479452
1/8/2013 0:00,Sortly,,Linux,0,0,0,,0,0,0,0, , , 
1/8/2013 0:00,Acme,,Windows,61601,49255,0,,25485,2404,104144,259883,0,0.413710816,0.03902534
1/8/2013 0:00,Botly,0,Android,23,22,23,2823,0,23,4,4,1,0,1
1/8/2013 0:00,Acme,0,Other,49,35,6,694,9,12,142,308,0.12244898,0.183673469,0.244897959
1/8/2013 0:00,Acme,0,Macintosh,7689,4882,1051,170884,2357,1772,21135,42498,0.136688776,0.306541813,0.230459097
1/8/2013 0:00,Sortly,,Macintosh,1,1,0,,1,0,1,5,0,1,0
1/8/2013 0:00,Acme,1,BlackBerry,1,0,0,30,0,1,1,0,0,0,1
1/8/2013 0:00,Sortly,1,Android,13,8,3,233,4,5,22,37,0.230769231,0.307692308,0.384615385
1/8/2013 0:00,Sortly,0,Windows,1,0,0,5,0,0,0,0,0,0,0
1/8/2013 0:00,Sortly,,iPhone,2613,2266,0,,1162,120,3720,5370,0,0.444699579,0.045924225
1/8/2013 0:00,Acme,1,Android,21,14,12,1163,3,15,86,189,0.571428571,0.142857143,0.714285714
1/8/2013 0:00,Acme,1,Macintosh,369,205,203,24539,66,233,1412,2564,0.550135501,0.178861789,0.631436314
